filename;Ukrainian title;Transliterated title;Name in catalogue;year;collector;place;performer;number_of_voices; performer gender and age;Syllabic structure;Strophes;archive reference;original metadata;audio recording;additional remarks
Vinnytsia_ballads_584v_Oj jakby ja do Kyyeva;Ой якби я до Києва;Oj jakby ja do Kyyeva;07-БК-07;1927;Корсовецький І.;с. Велика Кісниця Могилів-Подільської окр. (нині Ямпільського р-ну Вінницької обл.);Наталки Сокари.;single;;;; – ІМФЕ, ф. 6-4, од. зб. 157, арк. 29 (58), № 48.;"Зап. 29 серпня 2014 р. Гарбулінська Т. Є. у с. Іллівка Крижопільського р-ну Вінницької обл. від 
жіночого гурту. Розшифр. Єфремова Л. О., № 4 (69). Вар. зап. 3.Х 1927 р. Корсовецький І. у с. Ве-
лика Кісниця Могилів-Подільської окр. (нині Ямпільського р-ну Вінницької обл.) від Наталки Со-
кари. – ІМФЕ, ф. 6-4, од. зб. 157, арк. 29 (58), № 48. Вар. 1 зап. 1937 р. Стельмах М., Музиченко Д. 
(мел.) у с. Дяківці Літинського р-ну Вінницької обл. від Килини Поріцької, 20 р. – ІМФЕ, ф. 8-3, 
од. зб. 211, арк. 17 (текст), арк. 31 (мел.), № 28. Вар. 2 зап. 1979 р. Калетник М. Л. у с. Клембівка 
Ямпільського р-ну Вінницької обл. від Калетник Марини Стафіївни. – ІМФЕ, ф. 14-3, од. зб. 1214, 
арк. 4 (текст), арк. 42 зв. (мел.), № 4.";;
Vinnytsia_ballads_584v1_Oj jakby ja do Kyyeva;Ой якби я до Києва;Oj jakby ja do Kyyeva;07-БК-07;1937;"Стельмах М., Музиченко Д. 
(мел.)";с. Дяківці Літинського р-ну Вінницької обл.;Килини Поріцької, 20 р.;single;;;;– ІМФЕ, ф. 8-3, од. зб. 211, арк. 17 (текст), арк. 31 (мел.), № 28.;"Зап. 29 серпня 2014 р. Гарбулінська Т. Є. у с. Іллівка Крижопільського р-ну Вінницької обл. від 
жіночого гурту. Розшифр. Єфремова Л. О., № 4 (69). Вар. зап. 3.Х 1927 р. Корсовецький І. у с. Ве-
лика Кісниця Могилів-Подільської окр. (нині Ямпільського р-ну Вінницької обл.) від Наталки Со-
кари. – ІМФЕ, ф. 6-4, од. зб. 157, арк. 29 (58), № 48. Вар. 1 зап. 1937 р. Стельмах М., Музиченко Д. 
(мел.) у с. Дяківці Літинського р-ну Вінницької обл. від Килини Поріцької, 20 р. – ІМФЕ, ф. 8-3, 
од. зб. 211, арк. 17 (текст), арк. 31 (мел.), № 28. Вар. 2 зап. 1979 р. Калетник М. Л. у с. Клембівка 
Ямпільського р-ну Вінницької обл. від Калетник Марини Стафіївни. – ІМФЕ, ф. 14-3, од. зб. 1214, 
арк. 4 (текст), арк. 42 зв. (мел.), № 4.";;
Vinnytsia_ballads_584v2_Oj jakby ja do Kyyeva;Ой якби я до Києва;Oj jakby ja do Kyyeva;07-БК-07;1979;Калетник М. Л.;с. Клембівка Ямпільського р-ну Вінницької обл.;Калетник Марини Стафіївни.;single;;;;– ІМФЕ, ф. 14-3, од. зб. 1214, арк. 4 (текст), арк. 42 зв. (мел.), № 4.;"Зап. 29 серпня 2014 р. Гарбулінська Т. Є. у с. Іллівка Крижопільського р-ну Вінницької обл. від 
жіночого гурту. Розшифр. Єфремова Л. О., № 4 (69). Вар. зап. 3.Х 1927 р. Корсовецький І. у с. Ве-
лика Кісниця Могилів-Подільської окр. (нині Ямпільського р-ну Вінницької обл.) від Наталки Со-
кари. – ІМФЕ, ф. 6-4, од. зб. 157, арк. 29 (58), № 48. Вар. 1 зап. 1937 р. Стельмах М., Музиченко Д. 
(мел.) у с. Дяківці Літинського р-ну Вінницької обл. від Килини Поріцької, 20 р. – ІМФЕ, ф. 8-3, 
од. зб. 211, арк. 17 (текст), арк. 31 (мел.), № 28. Вар. 2 зап. 1979 р. Калетник М. Л. у с. Клембівка 
Ямпільського р-ну Вінницької обл. від Калетник Марини Стафіївни. – ІМФЕ, ф. 14-3, од. зб. 1214, 
арк. 4 (текст), арк. 42 зв. (мел.), № 4.";;
Vinnytsia_ballads_585_Dolym, dolym, dolynoju;Долим, долим, долиною;Dolym, dolym, dolynoju;07-БК[Р]-07;1942;Шмиговський А. Д.;с. Калівки Новоушицького пов. Кам’янець-Подільської губ. (нині с. Ягідне Муровано-Курилівецького р-ну Вінницької обл.).;від художника Коновалюка Ф. ;single;;;;Співали селяни та баба Ф. К. М. Коновалюк до 1914 р.Пісня одноголосна. – ІМФЕ, ф. 14-3, од. зб. 2, арк. 211-212 (119), № 163.;"Зап. 1942 р. Шмиговський А. Д. від художника Коновалюка Ф. з с. Калівки Новоушицького пов. 
Кам’янець-Подільської губ. (нині с. Ягідне Муровано-Курилівецького р-ну Вінницької обл.). Спі-
вали селяни та баба Ф. К. М. Коновалюк до 1914 р.Пісня одноголосна. – ІМФЕ, ф. 14-3, од. зб. 2, 
арк. 211-212 (119), № 163.";;
Vinnytsia_ballads_586_Oj poyikhav korolenko;Ой поїхав короленко;Oj poyikhav korolenko;07-БК-08;1922;Кудрицька А. М.;с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.);Марії Юкиш.;single;;;;– ІМФЕ, ф. 6-4, од. зб. 110, арк. 76-77 (текст), арк. 155 (мел.).;"Зап. 1922 р. Кудрицька А. М. у с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.) від 
Марії Юкиш. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 76-77 (текст), арк. 155 (мел.). Вар. зап. IX.1924 р. 
там само від Дарки Чекини. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 138 зв., № 23.";;
Vinnytsia_ballads_586v_Oj poyikhav korolenko;Ой поїхав короленко;Oj poyikhav korolenko;07-БК-08;1924;-;с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.);Дарки Чекини.;single;;;;– ІМФЕ, ф. 6-4, од. зб. 110, арк. 138 зв., № 23.;"Зап. 1922 р. Кудрицька А. М. у с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.) від 
Марії Юкиш. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 76-77 (текст), арк. 155 (мел.). Вар. зап. IX.1924 р. 
там само від Дарки Чекини. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 138 зв., № 23.";;
Vinnytsia_ballads_587_Chy ne budesh, divchynon'ko;Чи не будеш, дівчинонько;Chy ne budesh, divchynon'ko;07-БК-08;1964;Богун Г. Г.;с. Тернівка Козятинського р-ну Вінницької обл.;Карпунь Л. П., Рудик Х. Л., Поліщук К. Л., Карпунь А. Л., Олійник Н. Л.;2 voices;;;;"– ІМФЕ, ф. 14-3, од. зб. 447, арк. 98 зв.-99, № 10; фонозапис ф. 14-10, од. зб. 1014, нотація Єфремової Л. О.";"Зап. у 1963-1964 рр. Богун Г. Г. у с. Тернівка Козятинського р-ну Вінницької обл. від Карпунь Л. 
П., Рудик Х. Л., Поліщук К. Л., Карпунь А. Л., Олійник Н. Л. – ІМФЕ, ф. 14-3, од. зб. 447, арк. 98 
зв.-99, № 10; фонозапис ф. 14-10, од. зб. 1014, нотація Єфремової Л. О.";;
Vinnytsia_ballads_588_Chervona kalynon'ka;Червона калинонька;Chervona kalynon'ka;07-БК-09;1954;експ. ІМФЕ;с. Маньківка (мабуть, Маньківці) Барського р-ну Вінницької обл.;дівочого гурту, заспівує Ставнічук Віра, виводить Козінська Зося. З слів Ставнічук Віри.;single;;;;– ІМФЕ, ф. 14-5, од.зб. 171, арк. 41, № 4. Розшифр. Стьожка О.;"Зап. 1954 р. експ. ІМФЕ у с. Маньківка (мабуть, Маньківці) Барського р-ну Вінницької обл. від ді-
вочого гурту, заспівує Ставнічук Віра, виводить Козінська Зося. З слів Ставнічук Віри. – ІМФЕ, ф. 
14-5, од.зб. 171, арк. 41, № 4. Розшифр. Стьожка О.";;
Vinnytsia_ballads_589_Teche richka nevelychka;Тече річка невеличка;Teche richka nevelychka;07-БК-12;1924;Кудрицька А. М.;с. Овечаче Вінницької окр. на Поділлі (нині с. Дружне Калинівського р-ну Вінницької обл.);Марії Юкиш і Ганни Гловач.;2 voices;;;;– ІМФЕ, ф. 6-4, од. зб. 110, арк. 91 (текст), арк. 160 (мел.).;"Зап. 1924 р. Кудрицька А. М. у с. Овечаче Вінницької окр. на Поділлі (нині с. Дружне Калинів-
ського р-ну Вінницької обл.) від Марії Юкиш і Ганни Гловач. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 91 
(текст), арк. 160 (мел.).";;
Vinnytsia_ballads_590_Oj vzhe tomu kozakovi;Ой вже тому козакові;Oj vzhe tomu kozakovi;07-БР-01;2011;Гарбулінська Т. Є.;с. Думенки Хмільницького р-ну Вінницької обл.;Ющинської М. П. та Сторожук А. Р. ;2 voices;;;;З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 11 (55).;"Зап. 24 листопада 2011 р. Гарбулінська Т. Є. у с. Думенки Хмільницького р-ну Вінницької обл. від 
Ющинської М. П. та Сторожук А. Р. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 11 
(55).";;
Vinnytsia_ballads_591_Oj sjadu ja kraj stola;Ой сяду я край стола;Oj sjadu ja kraj stola;07-БР-03;2009;Матіяш Д., Кушка Т.;с. Івашківці Шаргородського р-ну Вінницької обл.;від гурту. ;2 voices;;;;Розшифр. Єфремова Л. О., № 17 (117).;"Зап. 11.05 2009 р. Матіяш Д., Кушка Т. у с. Івашківці Шаргородського р-ну Вінницької обл. від гу-
рту. Розшифр. Єфремова Л. О., № 17 (117). Вар. зап. 1950 р. Ященко Л. І. у с. Миронівка Ямпіль-
ського р-ну Вінницької обл. від Костюк Федосії, 57 р. – ІМФЕ, ф. 14-5, од. зб. 158, арк. 7 (текст), 
арк. 49 (мел.). Вар. 1 зап. у 10.06 2008 р. Кушка Т. Я., Матіяш Д. В. у с. Іванів Калинівського р-ну 
Вінницької обл. від Кисляк Л. М., Висоцької Г. М., Пашкевич Г. Д., Гончарук Н. П., Дишкант М. 
К., Воронюк Г. М. Розшифр. Єфремова Л. О. № 3 (458). Вар. 2 зап Кушка Т. Я., Матіяш Д. В. у с. 
Талалаї Погребищенського р-ну Вінницької обл. від гурту. Розшифр. Єфремова Л. О. № 9 (368).";;
